"entity_id"	"tweet_id"	"topic"
"RL2013D01E001"	"204639473366073344"	"other topics"
"RL2013D01E001"	"207430942028079104"	"Euro NCAP crash test"
"RL2013D01E001"	"208204757779759105"	"BMW official partner of the olympics"
"RL2013D01E001"	"208283774251831296"	"other topics"
"RL2013D01E001"	"208318509384609792"	"other topics"
"RL2013D01E001"	"208342777627549696"	"other topics"
"RL2013D01E001"	"208347487822557184"	"Opinion about BMW"
"RL2013D01E001"	"208416559604039680"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208431663317925888"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208436344140214273"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208457873523621888"	"New products: M3 and M5 M Performance"
"RL2013D01E001"	"208468799689732096"	"News involving a BMW but not directly involved with the brand"
"RL2013D01E001"	"208480107529117696"	"Opinion about BMW"
"RL2013D01E001"	"208495907476471809"	"Electric BMW cars "
"RL2013D01E001"	"208499745235279872"	"New products"
"RL2013D01E001"	"208502781902983168"	"Handwriting recognition, gesture controls in BMW vehicles"
"RL2013D01E001"	"208503142650871808"	"Videogames"
"RL2013D01E001"	"208504019252031489"	"BMW merchandising for sale"
"RL2013D01E001"	"208508767187382272"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208511350866051072"	"BMW official partner of the olympics"
"RL2013D01E001"	"208515494871973888"	"other topics"
"RL2013D01E001"	"208518871672557568"	"Videos of BMW"
"RL2013D01E001"	"208525930275160065"	"BMW sales"
"RL2013D01E001"	"208531567419723776"	"New brand store in Paris"
"RL2013D01E001"	"208538328633585665"	"Sport"
"RL2013D01E001"	"208542233559957505"	"BMW repairs"
"RL2013D01E001"	"208542824948441088"	"other topics"
"RL2013D01E001"	"208544804634771457"	"Comparison with competition"
"RL2013D01E001"	"208558549402533889"	"other topics"
"RL2013D01E001"	"208558852466147330"	"BMW vehicles for sale"
"RL2013D01E001"	"208559006564884482"	"other topics"
"RL2013D01E001"	"208564568195219457"	"Job offers"
"RL2013D01E001"	"208572382212927488"	"Facts about BMW "
"RL2013D01E001"	"208575515349614592"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208575952966516737"	"other topics"
"RL2013D01E001"	"208581139907100673"	"New products"
"RL2013D01E001"	"208582549214216192"	"BMW vehicles for sale"
"RL2013D01E001"	"208584965124931584"	"BMW vehicles for sale"
"RL2013D01E001"	"208586282127990785"	"BMW breaks down"
"RL2013D01E001"	"208586726740983808"	"Drive a BMW"
"RL2013D01E001"	"208589938734796800"	"Opinion about BMW"
"RL2013D01E001"	"208593542480789505"	"other topics"
"RL2013D01E001"	"208597074080563200"	"New brand store in Paris"
"RL2013D01E001"	"208599968154517504"	"Opinion about BMW"
"RL2013D01E001"	"208600920253145088"	"New products: BMW 7 Series"
"RL2013D01E001"	"208602136609701889"	"Comparison between BMW models"
"RL2013D01E001"	"208602479640846336"	"New products: BMW 7 Series"
"RL2013D01E001"	"208603076100235264"	"Own a BMW"
"RL2013D01E001"	"208604305031315456"	"Pictures of BMW"
"RL2013D01E001"	"208604422492786688"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208604611240669184"	"BMW vehicles for sale"
"RL2013D01E001"	"208604820939079680"	"Car dealer"
"RL2013D01E001"	"208610701353291776"	"BMW vehicles for sale"
"RL2013D01E001"	"208614065193496576"	"BMW parts and accesories for sale"
"RL2013D01E001"	"208615000531673089"	"other topics"
"RL2013D01E001"	"208619945599311872"	"New products: M3 and M5 M Performance"
"RL2013D01E001"	"208623603653156865"	"Own a BMW"
"RL2013D01E001"	"208629177270800384"	"New products: M3 and M5 M Performance"
"RL2013D01E001"	"208629252764073984"	"New brand store in Paris"
"RL2013D01E001"	"208642334815043586"	"other topics"
"RL2013D01E001"	"208650832466550785"	"BMW vehicles for sale"
"RL2013D01E001"	"208651583259541504"	"New products: M3 and M5 M Performance"
"RL2013D01E001"	"208657077512581120"	"New products: M3 and M5 M Performance"
"RL2013D01E001"	"208661821534638080"	"Pictures of BMW"
"RL2013D01E001"	"208674710647603200"	"Own a BMW"
"RL2013D01E001"	"208674903573012480"	"Videos of BMW"
"RL2013D01E001"	"208676669387575298"	"other topics"
"RL2013D01E001"	"208680612012376064"	"BMW vehicles for sale"
"RL2013D01E001"	"208681773863936000"	"other topics"
"RL2013D01E001"	"208693228478795777"	"BMW breaks down"
"RL2013D01E001"	"208693329146281985"	"BMW vehicles for sale"
"RL2013D01E001"	"208703619816632320"	"other topics"
"RL2013D01E001"	"208708286327959552"	"Own a BMW"
"RL2013D01E001"	"208710169281036288"	"other topics"
"RL2013D01E001"	"208715219579572224"	"Own a BMW"
"RL2013D01E001"	"208731115643604992"	"other topics"
"RL2013D01E001"	"208736517907161088"	"Books about BMW"
"RL2013D01E001"	"208738476659712001"	"BMW vehicles for sale"
"RL2013D01E001"	"208739852391432192"	"Pictures of BMW"
"RL2013D01E001"	"208742075338989568"	"BMW merchandising for sale"
"RL2013D01E001"	"208742427689881600"	"other topics"
"RL2013D01E001"	"208743375594209280"	"Pictures of BMW"
"RL2013D01E001"	"208745577608003585"	"Videos of BMW"
"RL2013D01E001"	"208750363891867649"	"Pictures of BMW"
